Link ID: _y621, 出現回数: 2635, 単位面積当りの出現回数: 38.83, vの平均: 0.42
Link ID: _y608, 出現回数: 328, 単位面積当りの出現回数: 3.78, vの平均: 0.98
Link ID: _y1130, 出現回数: 154, 単位面積当りの出現回数: 3.76, vの平均: 0.91
Link ID: _y411, 出現回数: 257, 単位面積当りの出現回数: 3.69, vの平均: 0.86
Link ID: _y153, 出現回数: 815, 単位面積当りの出現回数: 3.62, vの平均: 0.81
Link ID: _y565, 出現回数: 547, 単位面積当りの出現回数: 3.57, vの平均: 1.02
Link ID: _y595, 出現回数: 373, 単位面積当りの出現回数: 3.57, vの平均: 0.58
Link ID: _y1089, 出現回数: 3, 単位面積当りの出現回数: 3.33, vの平均: 1.02
Link ID: _y987, 出現回数: 3, 単位面積当りの出現回数: 3.33, vの平均: 1.02
Link ID: _y1173, 出現回数: 3, 単位面積当りの出現回数: 3.33, vの平均: 1.02
Link ID: _y683, 出現回数: 450, 単位面積当りの出現回数: 3.32, vの平均: 0.94
Link ID: _y434, 出現回数: 167, 単位面積当りの出現回数: 3.30, vの平均: 0.67
Link ID: _y410, 出現回数: 558, 単位面積当りの出現回数: 3.26, vの平均: 0.96
Link ID: _y676, 出現回数: 360, 単位面積当りの出現回数: 3.23, vの平均: 0.96
Link ID: _y400, 出現回数: 690, 単位面積当りの出現回数: 3.21, vの平均: 1.01
Link ID: _y406, 出現回数: 254, 単位面積当りの出現回数: 3.17, vの平均: 0.62
Link ID: _y012, 出現回数: 705, 単位面積当りの出現回数: 3.09, vの平均: 0.77
Link ID: _y080, 出現回数: 116, 単位面積当りの出現回数: 3.05, vの平均: 1.00
Link ID: _y093, 出現回数: 4434, 単位面積当りの出現回数: 3.04, vの平均: 0.80
Link ID: _y397, 出現回数: 493, 単位面積当りの出現回数: 3.01, vの平均: 0.97
Link ID: _y152, 出現回数: 471, 単位面積当りの出現回数: 2.98, vの平均: 0.99
Link ID: _y399, 出現回数: 1190, 単位面積当りの出現回数: 2.95, vの平均: 0.99
Link ID: _y739, 出現回数: 488, 単位面積当りの出現回数: 2.84, vの平均: 0.96
Link ID: _y628, 出現回数: 590, 単位面積当りの出現回数: 2.84, vの平均: 1.02
Link ID: _y629, 出現回数: 323, 単位面積当りの出現回数: 2.79, vの平均: 1.02
Link ID: _y748, 出現回数: 425, 単位面積当りの出現回数: 2.77, vの平均: 1.02
Link ID: _y045, 出現回数: 1030, 単位面積当りの出現回数: 2.71, vの平均: 0.99
Link ID: _y378, 出現回数: 289, 単位面積当りの出現回数: 2.70, vの平均: 0.93
Link ID: _y756, 出現回数: 393, 単位面積当りの出現回数: 2.69, vの平均: 0.84
Link ID: _y448, 出現回数: 175, 単位面積当りの出現回数: 2.69, vの平均: 0.98
Link ID: _y583, 出現回数: 835, 単位面積当りの出現回数: 2.66, vの平均: 1.01
Link ID: _y707, 出現回数: 321, 単位面積当りの出現回数: 2.60, vの平均: 0.89
Link ID: _y338, 出現回数: 226, 単位面積当りの出現回数: 2.59, vの平均: 1.00
Link ID: _y182, 出現回数: 104, 単位面積当りの出現回数: 2.55, vの平均: 0.65
Link ID: _y921, 出現回数: 785, 単位面積当りの出現回数: 2.55, vの平均: 0.81
Link ID: _y017, 出現回数: 334, 単位面積当りの出現回数: 2.51, vの平均: 0.92
Link ID: _y276, 出現回数: 824, 単位面積当りの出現回数: 2.50, vの平均: 1.00
Link ID: _y090, 出現回数: 335, 単位面積当りの出現回数: 2.48, vの平均: 0.95
Link ID: _y240, 出現回数: 742, 単位面積当りの出現回数: 2.48, vの平均: 0.61
Link ID: _y657, 出現回数: 334, 単位面積当りの出現回数: 2.44, vの平均: 0.98
Link ID: _y412, 出現回数: 155, 単位面積当りの出現回数: 2.37, vの平均: 1.02
Link ID: _y1133, 出現回数: 166, 単位面積当りの出現回数: 2.35, vの平均: 1.00
Link ID: _y033, 出現回数: 1925, 単位面積当りの出現回数: 2.35, vの平均: 1.00
Link ID: _y698, 出現回数: 1095, 単位面積当りの出現回数: 2.31, vの平均: 0.99
Link ID: _y156, 出現回数: 329, 単位面積当りの出現回数: 2.28, vの平均: 1.02
Link ID: _y668, 出現回数: 348, 単位面積当りの出現回数: 2.25, vの平均: 1.02
Link ID: _y693, 出現回数: 288, 単位面積当りの出現回数: 2.24, vの平均: 0.99
Link ID: _y569, 出現回数: 1950, 単位面積当りの出現回数: 2.23, vの平均: 1.01
Link ID: _y327, 出現回数: 4733, 単位面積当りの出現回数: 2.23, vの平均: 0.89
Link ID: _y1075, 出現回数: 2, 単位面積当りの出現回数: 2.22, vの平均: 1.02
Link ID: _y1014, 出現回数: 2, 単位面積当りの出現回数: 2.22, vの平均: 1.01
Link ID: _y1183, 出現回数: 2, 単位面積当りの出現回数: 2.22, vの平均: 1.02
Link ID: _y989, 出現回数: 2, 単位面積当りの出現回数: 2.22, vの平均: 1.02
Link ID: _y1165, 出現回数: 2, 単位面積当りの出現回数: 2.22, vの平均: 0.00
Link ID: _y1008, 出現回数: 2, 単位面積当りの出現回数: 2.22, vの平均: 1.02
Link ID: _y1090, 出現回数: 2, 単位面積当りの出現回数: 2.22, vの平均: 1.02
Link ID: _y617, 出現回数: 356, 単位面積当りの出現回数: 2.21, vの平均: 0.93
Link ID: _y533, 出現回数: 219, 単位面積当りの出現回数: 2.21, vの平均: 1.00
Link ID: _y927, 出現回数: 1193, 単位面積当りの出現回数: 2.19, vの平均: 0.72
Link ID: _y159, 出現回数: 258, 単位面積当りの出現回数: 2.19, vの平均: 1.02
Link ID: _y146, 出現回数: 430, 単位面積当りの出現回数: 2.17, vの平均: 1.01
Link ID: _y273, 出現回数: 158, 単位面積当りの出現回数: 2.17, vの平均: 1.00
Link ID: _y229, 出現回数: 159, 単位面積当りの出現回数: 2.14, vの平均: 1.01
Link ID: _y552, 出現回数: 395, 単位面積当りの出現回数: 2.14, vの平均: 1.01
Link ID: _y236, 出現回数: 1059, 単位面積当りの出現回数: 2.11, vの平均: 0.88
Link ID: _y459, 出現回数: 126, 単位面積当りの出現回数: 2.09, vの平均: 1.02
Link ID: _y422, 出現回数: 233, 単位面積当りの出現回数: 1.98, vの平均: 1.00
Link ID: _y681, 出現回数: 118, 単位面積当りの出現回数: 1.98, vの平均: 0.82
Link ID: _y523, 出現回数: 503, 単位面積当りの出現回数: 1.91, vの平均: 1.02
Link ID: _y930, 出現回数: 199, 単位面積当りの出現回数: 1.90, vの平均: 0.93
Link ID: _y263, 出現回数: 662, 単位面積当りの出現回数: 1.88, vの平均: 0.78
Link ID: _y623, 出現回数: 815, 単位面積当りの出現回数: 1.87, vの平均: 0.72
Link ID: _y147, 出現回数: 421, 単位面積当りの出現回数: 1.86, vの平均: 0.97
Link ID: _y197, 出現回数: 323, 単位面積当りの出現回数: 1.84, vの平均: 0.85
Link ID: _y524, 出現回数: 711, 単位面積当りの出現回数: 1.84, vの平均: 1.00
Link ID: _y260, 出現回数: 167, 単位面積当りの出現回数: 1.82, vの平均: 0.86
Link ID: _y571, 出現回数: 114, 単位面積当りの出現回数: 1.81, vの平均: 0.94
Link ID: _y946, 出現回数: 830, 単位面積当りの出現回数: 1.80, vの平均: 0.94
Link ID: _y922, 出現回数: 148, 単位面積当りの出現回数: 1.80, vの平均: 0.48
Link ID: _y1051, 出現回数: 428, 単位面積当りの出現回数: 1.78, vの平均: 0.99
Link ID: _y697, 出現回数: 345, 単位面積当りの出現回数: 1.76, vの平均: 0.94
Link ID: _y620, 出現回数: 87, 単位面積当りの出現回数: 1.74, vの平均: 0.92
Link ID: _y522, 出現回数: 79, 単位面積当りの出現回数: 1.74, vの平均: 1.02
Link ID: _y419, 出現回数: 224, 単位面積当りの出現回数: 1.72, vの平均: 1.02
Link ID: _y682, 出現回数: 784, 単位面積当りの出現回数: 1.72, vの平均: 0.78
Link ID: _y929, 出現回数: 1294, 単位面積当りの出現回数: 1.70, vの平均: 0.92
Link ID: _y289, 出現回数: 587, 単位面積当りの出現回数: 1.70, vの平均: 0.99
Link ID: _y455, 出現回数: 631, 単位面積当りの出現回数: 1.69, vの平均: 1.01
Link ID: _y586, 出現回数: 163, 単位面積当りの出現回数: 1.68, vの平均: 1.02
Link ID: _y704, 出現回数: 61, 単位面積当りの出現回数: 1.66, vの平均: 0.97
Link ID: _y702, 出現回数: 150, 単位面積当りの出現回数: 1.63, vの平均: 0.98
Link ID: _y936, 出現回数: 622, 単位面積当りの出現回数: 1.61, vの平均: 1.00
Link ID: _y699, 出現回数: 67, 単位面積当りの出現回数: 1.61, vの平均: 0.99
Link ID: _y458, 出現回数: 561, 単位面積当りの出現回数: 1.60, vの平均: 0.96
Link ID: _y1139, 出現回数: 133, 単位面積当りの出現回数: 1.60, vの平均: 0.95
Link ID: _y665, 出現回数: 75, 単位面積当りの出現回数: 1.59, vの平均: 0.98
Link ID: _y039, 出現回数: 621, 単位面積当りの出現回数: 1.58, vの平均: 1.02
Link ID: _y737, 出現回数: 149, 単位面積当りの出現回数: 1.57, vの平均: 1.00
Link ID: _y560, 出現回数: 339, 単位面積当りの出現回数: 1.56, vの平均: 0.99
Link ID: _y1191, 出現回数: 638, 単位面積当りの出現回数: 1.53, vの平均: 1.02
Link ID: _y1190, 出現回数: 729, 単位面積当りの出現回数: 1.52, vの平均: 0.92
Link ID: _y530, 出現回数: 173, 単位面積当りの出現回数: 1.49, vの平均: 1.02
Link ID: _y148, 出現回数: 310, 単位面積当りの出現回数: 1.48, vの平均: 0.98
Link ID: _y854, 出現回数: 858, 単位面積当りの出現回数: 1.47, vの平均: 0.94
Link ID: _y898, 出現回数: 922, 単位面積当りの出現回数: 1.46, vの平均: 0.93
Link ID: _y539, 出現回数: 167, 単位面積当りの出現回数: 1.44, vの平均: 1.01
Link ID: _y505, 出現回数: 129, 単位面積当りの出現回数: 1.42, vの平均: 1.01
Link ID: _y330, 出現回数: 148, 単位面積当りの出現回数: 1.41, vの平均: 1.02
Link ID: _y436, 出現回数: 162, 単位面積当りの出現回数: 1.41, vの平均: 1.02
Link ID: _y506, 出現回数: 251, 単位面積当りの出現回数: 1.41, vの平均: 1.02
Link ID: _y603, 出現回数: 452, 単位面積当りの出現回数: 1.38, vの平均: 0.92
Link ID: _y451, 出現回数: 89, 単位面積当りの出現回数: 1.38, vの平均: 1.02
Link ID: _y431, 出現回数: 179, 単位面積当りの出現回数: 1.36, vの平均: 1.00
Link ID: _y919, 出現回数: 468, 単位面積当りの出現回数: 1.36, vの平均: 0.88
Link ID: _y556, 出現回数: 69, 単位面積当りの出現回数: 1.30, vの平均: 1.02
Link ID: _y392, 出現回数: 573, 単位面積当りの出現回数: 1.28, vの平均: 0.96
Link ID: _y776, 出現回数: 75, 単位面積当りの出現回数: 1.28, vの平均: 0.77
Link ID: _y897, 出現回数: 151, 単位面積当りの出現回数: 1.26, vの平均: 0.97
Link ID: _y395, 出現回数: 85, 単位面積当りの出現回数: 1.26, vの平均: 0.92
Link ID: _y024, 出現回数: 56, 単位面積当りの出現回数: 1.25, vの平均: 0.96
Link ID: _y1123, 出現回数: 610, 単位面積当りの出現回数: 1.25, vの平均: 0.98
Link ID: _y296, 出現回数: 355, 単位面積当りの出現回数: 1.22, vの平均: 1.01
Link ID: _y186, 出現回数: 1888, 単位面積当りの出現回数: 1.21, vの平均: 0.76
Link ID: _y672, 出現回数: 60, 単位面積当りの出現回数: 1.20, vの平均: 1.01
Link ID: _y209, 出現回数: 30, 単位面積当りの出現回数: 1.17, vの平均: 0.78
Link ID: _y223, 出現回数: 396, 単位面積当りの出現回数: 1.17, vの平均: 1.02
Link ID: _y409, 出現回数: 348, 単位面積当りの出現回数: 1.14, vの平均: 0.82
Link ID: _y528, 出現回数: 1067, 単位面積当りの出現回数: 1.14, vの平均: 0.94
Link ID: _y440, 出現回数: 278, 単位面積当りの出現回数: 1.14, vの平均: 1.01
Link ID: _y917, 出現回数: 333, 単位面積当りの出現回数: 1.13, vの平均: 1.02
Link ID: _y037, 出現回数: 402, 単位面積当りの出現回数: 1.13, vの平均: 1.02
Link ID: _y138, 出現回数: 975, 単位面積当りの出現回数: 1.12, vの平均: 0.93
Link ID: _y988, 出現回数: 1, 単位面積当りの出現回数: 1.11, vの平均: 1.02
Link ID: _y1167, 出現回数: 1, 単位面積当りの出現回数: 1.11, vの平均: 1.02
Link ID: _y732, 出現回数: 295, 単位面積当りの出現回数: 1.11, vの平均: 0.74
Link ID: _y231, 出現回数: 281, 単位面積当りの出現回数: 1.09, vの平均: 0.66
Link ID: _y158, 出現回数: 432, 単位面積当りの出現回数: 1.08, vの平均: 1.02
Link ID: _y474, 出現回数: 1059, 単位面積当りの出現回数: 1.08, vの平均: 0.94
Link ID: _y753, 出現回数: 75, 単位面積当りの出現回数: 1.07, vの平均: 0.98
Link ID: _y496, 出現回数: 1682, 単位面積当りの出現回数: 1.05, vの平均: 0.94
Link ID: _y163, 出現回数: 204, 単位面積当りの出現回数: 1.04, vの平均: 0.70
Link ID: _y228, 出現回数: 7, 単位面積当りの出現回数: 1.02, vの平均: 1.02
Link ID: _y614, 出現回数: 77, 単位面積当りの出現回数: 1.00, vの平均: 1.02
Link ID: _y481, 出現回数: 140, 単位面積当りの出現回数: 0.98, vの平均: 1.02
Link ID: _y494, 出現回数: 324, 単位面積当りの出現回数: 0.98, vの平均: 0.86
Link ID: _y379, 出現回数: 413, 単位面積当りの出現回数: 0.97, vの平均: 0.85
Link ID: _y588, 出現回数: 367, 単位面積当りの出現回数: 0.97, vの平均: 0.94
Link ID: _y531, 出現回数: 370, 単位面積当りの出現回数: 0.97, vの平均: 1.02
Link ID: _y478, 出現回数: 123, 単位面積当りの出現回数: 0.97, vの平均: 0.97
Link ID: _y251, 出現回数: 18, 単位面積当りの出現回数: 0.96, vの平均: 0.50
Link ID: _y215, 出現回数: 38, 単位面積当りの出現回数: 0.96, vの平均: 0.99
Link ID: _y705, 出現回数: 196, 単位面積当りの出現回数: 0.95, vの平均: 0.86
Link ID: _y674, 出現回数: 265, 単位面積当りの出現回数: 0.95, vの平均: 1.02
Link ID: _y278, 出現回数: 50, 単位面積当りの出現回数: 0.94, vの平均: 0.90
Link ID: _y648, 出現回数: 167, 単位面積当りの出現回数: 0.93, vの平均: 0.56
Link ID: _y497, 出現回数: 41, 単位面積当りの出現回数: 0.91, vの平均: 0.71
Link ID: _y438, 出現回数: 20, 単位面積当りの出現回数: 0.90, vの平均: 1.02
Link ID: _y432, 出現回数: 630, 単位面積当りの出現回数: 0.90, vの平均: 1.00
Link ID: _y396, 出現回数: 97, 単位面積当りの出現回数: 0.90, vの平均: 1.02
Link ID: _y666, 出現回数: 41, 単位面積当りの出現回数: 0.90, vの平均: 0.99
Link ID: _y945, 出現回数: 101, 単位面積当りの出現回数: 0.89, vの平均: 1.02
Link ID: _y277, 出現回数: 46, 単位面積当りの出現回数: 0.89, vの平均: 0.82
Link ID: _y759, 出現回数: 238, 単位面積当りの出現回数: 0.88, vの平均: 1.02
Link ID: _y509, 出現回数: 70, 単位面積当りの出現回数: 0.87, vの平均: 0.90
Link ID: _y1114, 出現回数: 49, 単位面積当りの出現回数: 0.86, vの平均: 0.97
Link ID: _y685, 出現回数: 169, 単位面積当りの出現回数: 0.86, vの平均: 1.01
Link ID: _y542, 出現回数: 99, 単位面積当りの出現回数: 0.85, vの平均: 1.01
Link ID: _y323, 出現回数: 238, 単位面積当りの出現回数: 0.84, vの平均: 0.81
Link ID: _y288, 出現回数: 362, 単位面積当りの出現回数: 0.84, vの平均: 0.86
Link ID: _y490, 出現回数: 27, 単位面積当りの出現回数: 0.83, vの平均: 0.92
Link ID: _y949, 出現回数: 33, 単位面積当りの出現回数: 0.82, vの平均: 0.46
Link ID: _y1122, 出現回数: 119, 単位面積当りの出現回数: 0.81, vの平均: 0.83
Link ID: _y310, 出現回数: 442, 単位面積当りの出現回数: 0.81, vの平均: 1.00
Link ID: _y450, 出現回数: 70, 単位面積当りの出現回数: 0.80, vの平均: 0.79
Link ID: _y140, 出現回数: 634, 単位面積当りの出現回数: 0.79, vの平均: 0.95
Link ID: _y568, 出現回数: 577, 単位面積当りの出現回数: 0.79, vの平均: 0.97
Link ID: _y677, 出現回数: 74, 単位面積当りの出現回数: 0.79, vの平均: 0.75
Link ID: _y934, 出現回数: 247, 単位面積当りの出現回数: 0.79, vの平均: 0.88
Link ID: _y500, 出現回数: 570, 単位面積当りの出現回数: 0.78, vの平均: 0.96
Link ID: _y293, 出現回数: 222, 単位面積当りの出現回数: 0.77, vの平均: 0.92
Link ID: _y454, 出現回数: 283, 単位面積当りの出現回数: 0.76, vの平均: 0.99
Link ID: _y150, 出現回数: 475, 単位面積当りの出現回数: 0.75, vの平均: 0.84
Link ID: _y405, 出現回数: 233, 単位面積当りの出現回数: 0.72, vの平均: 0.85
Link ID: _y453, 出現回数: 67, 単位面積当りの出現回数: 0.72, vの平均: 1.01
Link ID: _y020, 出現回数: 128, 単位面積当りの出現回数: 0.71, vの平均: 0.80
Link ID: _y354, 出現回数: 268, 単位面積当りの出現回数: 0.70, vの平均: 1.02
